	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000172183	1703.588354	3.0752362	0.069642546	44.15743514	0	0	ISG20
ENSG00000125148	385.341838	4.113401432	0.097723109	42.09241289	0	0	MT2A
ENSG00000126709	1027.438095	5.522313517	0.151777808	36.38419592	7.57E-290	2.75E-286	IFI6
ENSG00000117228	234.6862454	3.626688222	0.102066902	35.53246101	1.55E-276	4.23E-273	GBP1
ENSG00000138646	186.4414237	4.146549653	0.120745867	34.34113121	1.91E-258	4.17E-255	HERC5
ENSG00000185507	314.8185589	3.439553276	0.101396427	33.9218391	3.17E-252	5.77E-249	IRF7
ENSG00000156587	366.504328	2.651610794	0.079976405	33.15491345	4.81E-241	7.50E-238	UBE2L6
ENSG00000068079	172.4075129	3.631041704	0.115636017	31.40061189	1.98E-216	2.71E-213	IFI35
ENSG00000121858	351.5054922	4.392871685	0.140541815	31.25668816	1.81E-214	2.20E-211	TNFSF10
ENSG00000160932	662.0293642	4.024206702	0.130717037	30.7856329	4.08E-208	4.45E-205	LY6E
ENSG00000123609	192.1787629	2.279106176	0.080576771	28.28490328	5.30E-176	5.26E-173	NMI
ENSG00000183486	136.1332918	3.360630026	0.119127542	28.21035318	4.37E-175	3.97E-172	MX2
ENSG00000067066	281.360999	2.106264638	0.076464843	27.5455303	5.01E-167	4.20E-164	SP100
ENSG00000177409	138.82219	4.366776539	0.159242407	27.42219622	1.49E-165	1.16E-162	SAMD9L
ENSG00000185745	620.4114628	6.171994601	0.22547045	27.37385138	5.62E-165	4.09E-162	IFIT1
ENSG00000175550	332.4862716	1.934542031	0.072137485	26.81743106	2.02E-158	1.38E-155	DRAP1
ENSG00000132530	107.3353632	4.160606901	0.15540818	26.77212286	6.83E-158	4.38E-155	XAF1
ENSG00000240065	586.9938996	1.759991148	0.066410853	26.50155902	9.30E-155	5.64E-152	PSMB9
ENSG00000157601	613.5646223	4.562854861	0.172433737	26.46149721	2.69E-154	1.54E-151	MX1
ENSG00000205413	249.3684407	2.97524496	0.112996421	26.33043534	8.60E-153	4.69E-150	SAMD9
ENSG00000130303	246.399321	2.418984906	0.094060384	25.71736159	7.48E-146	3.88E-143	BST2
ENSG00000055332	211.7505759	3.377391648	0.132718638	25.44775698	7.47E-143	3.71E-140	EIF2AK2
ENSG00000122643	139.2988492	2.723043541	0.107489673	25.33307132	1.38E-141	6.55E-139	NT5C3A
ENSG00000130813	127.4489605	2.284164103	0.090589821	25.21435706	2.79E-140	1.27E-137	C19orf66
ENSG00000136514	96.15682559	3.965622414	0.160043181	24.77845284	1.53E-135	6.68E-133	RTP4
ENSG00000134326	130.5322882	5.335954878	0.215893121	24.71572442	7.25E-135	3.04E-132	CMPK2
ENSG00000132274	139.8204476	3.408506689	0.138154243	24.67174821	2.15E-134	8.69E-132	TRIM22
ENSG00000163565	274.9866024	2.132711035	0.089720259	23.77067397	6.72E-125	2.62E-122	IFI16
ENSG00000115415	155.7110833	3.783429984	0.161671329	23.40198477	4.08E-121	1.53E-118	STAT1
ENSG00000204397	161.5388444	2.215402154	0.094775413	23.37528357	7.63E-121	2.77E-118	CARD16
ENSG00000114127	116.5543177	2.184329208	0.093647803	23.32493819	2.48E-120	8.71E-118	XRN1
ENSG00000089127	314.2093553	4.850832292	0.210524054	23.04170094	1.78E-117	6.07E-115	OAS1
ENSG00000107201	136.0565792	3.768636515	0.16496483	22.84509071	1.64E-115	5.41E-113	DDX58
ENSG00000013374	129.5854052	2.2166864	0.097924801	22.63661894	1.89E-113	6.06E-111	NUB1
ENSG00000002549	109.9113016	3.031498377	0.134591587	22.52368408	2.43E-112	7.58E-110	LAP3
ENSG00000135899	167.6249819	2.284063253	0.101912452	22.41201343	3.01E-111	9.11E-109	SP110
ENSG00000197536	115.840149	2.731397392	0.123757139	22.07062481	6.05E-108	1.79E-105	C5orf56
ENSG00000188313	224.5912248	4.434342794	0.204411831	21.69318075	2.38E-104	6.83E-102	PLSCR1
ENSG00000111331	60.92093466	4.787171109	0.22562154	21.21770429	6.55E-100	1.79E-97	OAS3
ENSG00000152778	78.54725922	3.130051411	0.151124456	20.7117464	2.71E-95	7.22E-93	IFIT5
ENSG00000213689	84.47593668	2.907983951	0.141177416	20.59808166	2.86E-94	7.42E-92	TREX1
ENSG00000163644	147.8824168	2.372801775	0.120346403	19.71643291	1.56E-86	3.95E-84	PPM1K
ENSG00000204264	362.8010905	1.495295638	0.076448614	19.55948666	3.43E-85	8.49E-83	PSMB8
ENSG00000138035	66.3156147	2.903159191	0.149025038	19.48101634	1.59E-84	3.86E-82	PNPT1
ENSG00000136213	81.25178127	2.649160693	0.136749251	19.3723964	1.32E-83	3.13E-81	CHST12
ENSG00000173193	66.550401	2.871235256	0.150234527	19.11168696	2.02E-81	4.68E-79	PARP14
ENSG00000187608	2575.487105	4.637395915	0.245366416	18.89988042	1.14E-79	2.60E-77	ISG15
ENSG00000125826	129.1647073	2.32167833	0.12379981	18.75348859	1.81E-78	4.04E-76	RBCK1
ENSG00000138496	91.84263994	3.433374088	0.184514483	18.60761301	2.79E-77	6.08E-75	PARP9
ENSG00000154451	58.05655781	3.770586057	0.205571582	18.34196153	3.83E-75	8.19E-73	GBP5
ENSG00000136147	117.1849457	2.110554099	0.11514278	18.32988655	4.78E-75	1.00E-72	PHF11
